YearsExperience,PerformanceScore,Department,EducationLevel,RemoteStatus,Salary,Attrition
5.0,4.0,HR,Bachelor,Remote,61972.71,Yes
5.9,3.0,Marketing,Bachelor,Onsite,58552.46,Yes
8.8,3.0,Sales,Bachelor,Remote,62196.01,No
9.8,2.0,Engineering,Master,Onsite,83565.63,No
9.8,4.0,Engineering,Bachelor,Onsite,82360.55,No
3.0,2.0,Marketing,Bachelor,Onsite,50914.65,Yes
6.8,3.0,Engineering,Master,Remote,77952.83,No
9.6,5.0,HR,Bachelor,Remote,72759.18,No
5.1,3.0,Engineering,Bachelor,Remote,68257.7,No
10.5,,Engineering,Master,Onsite,82450.17,No
2.4,1.0,Sales,Bachelor,Remote,51152.46,Yes
10.5,2.0,Sales,Bachelor,Remote,67946.09,Yes
10.2,4.0,Engineering,Master,Onsite,86380.78,No
1.8,5.0,Engineering,PhD,Onsite,81844.47,No
5.4,5.0,Engineering,Master,Onsite,77702.69,No
8.1,5.0,Marketing,Bachelor,Onsite,71787.77,No
6.9,2.0,Engineering,Bachelor,Onsite,68217.4,Yes
6.8,4.0,Sales,Bachelor,Onsite,69059.05,No
5.8,1.0,Engineering,Master,Remote,68184.2,Yes
2.9,5.0,Marketing,PhD,Onsite,79276.12,Yes
5.3,2.0,Marketing,Bachelor,Remote,59749.74,Yes
,5.0,Marketing,Master,Remote,97929.03,No
7.8,5.0,Marketing,Bachelor,Onsite,73757.66,No
,4.0,Sales,Master,Remote,60143.24,Yes
